image,plate,source
cam01_GJ01AB1234_20260905_102656_934184.jpg,GJ01AB1234,synthetic
cam01_GJ01AB1234_20260905_102742_614073.jpg,GJ01AB1234,synthetic
cam01_GJ01AB1234_20260905_125917_170934.jpg,GJ01AB1234,synthetic
cam01_GJ01AB1234_20260905_125922_316318.jpg,GJ01AB1234,synthetic
cam01_GJ01AB1234_20260905_130037_881988.jpg,GJ01AB1234,synthetic
cam01_GJ01AB1234_20260905_130043_157307.jpg,GJ01AB1234,synthetic
cam01_GJ01AB1234_20260905_131415_682826.jpg,GJ01AB1234,synthetic
cam01_GJ01AB1234_20260905_132106_926077.jpg,GJ01AB1234,synthetic
cam01_GJ05JV7219_20260905_102833_792575.jpg,GJ05JV7219,synthetic
cam01_GJ18CD5678_20260905_102810_695990.jpg,GJ18CD5678,synthetic
cam01_GJ27XY4455_20260905_102926_716445.jpg,GJ27XY4455,synthetic
cam01_GJ99AB1234_20260905_135856_057019.jpg,GJ99AB1234,synthetic
cam01_GJ99AB1234_20260905_140038_125986.jpg,GJ99AB1234,synthetic
cam01_GJ99AB1234_20260907_082102_372688.jpg,GJ99AB1234,synthetic
cam01_MH12DE1433_20260905_102853_408705.jpg,MH12DE1433,synthetic
cam01_RJ14GH9012_20260905_102914_493099.jpg,RJ14GH9012,synthetic
cam02_GJ18CD5678_20260905_130657_140622.jpg,GJ18CD5678,synthetic
cam02_GJ18CD5678_20260905_130730_506560.jpg,GJ18CD5678,synthetic
cam03_MH12DE1433_20260905_132434_278703.jpg,MH12DE1433,synthetic
cam04_GJ01AB1234_20260905_103226_382731.jpg,GJ01AB1234,synthetic
cam04_GJ01AB1234_20260905_103244_788186.jpg,GJ01AB1234,synthetic
cam04_GJ01AB1234_20260905_130200_046861.jpg,GJ01AB1234,synthetic
cam04_GJ01AB1234_20260905_130205_205341.jpg,GJ01AB1234,synthetic
cam04_GJ05JV7219_20260905_103333_432433.jpg,GJ05JV7219,synthetic
cam04_GJ18CD5678_20260905_103310_149966.jpg,GJ18CD5678,synthetic
cam04_GJ18CD5678_20260905_130455_988171.jpg,GJ18CD5678,synthetic
cam04_GJ18CD5678_20260905_131416_645954.jpg,GJ18CD5678,synthetic
cam04_GJ18CD5678_20260905_132108_616076.jpg,GJ18CD5678,synthetic
cam04_GJ27XY4455_20260905_103429_576600.jpg,GJ27XY4455,synthetic
cam04_GJ98CD5678_20260905_135856_876549.jpg,GJ98CD5678,synthetic
cam04_GJ98CD5678_20260905_140039_184912.jpg,GJ98CD5678,synthetic
cam04_GJ98CD5678_20260907_082103_102627.jpg,GJ98CD5678,synthetic
cam04_MH12DE1433_20260905_103354_883370.jpg,MH12DE1433,synthetic
cam04_RJ14GH9012_20260905_103416_725146.jpg,RJ14GH9012,synthetic
cam05_GJ01AB1234_20260905_104035_018668.jpg,GJ01AB1234,synthetic
cam05_GJ01AB1234_20260905_104052_351361.jpg,GJ01AB1234,synthetic
cam05_GJ05JV7219_20260905_104140_188332.jpg,GJ05JV7219,synthetic
cam05_GJ05JV7219_20260905_132634_458985.jpg,GJ05JV7219,synthetic
cam05_GJ18CD5678_20260905_104115_705305.jpg,GJ18CD5678,synthetic
cam05_GJ18CD5678_20260905_130927_384598.jpg,GJ18CD5678,synthetic
cam05_GJ27XY4455_20260905_104304_974243.jpg,GJ27XY4455,synthetic
cam05_MH12DE1433_20260905_104237_879052.jpg,MH12DE1433,synthetic
cam05_RJ14GH9012_20260905_104255_299122.jpg,RJ14GH9012,synthetic
cam05_RJ14GH9012_20260905_132813_083942.jpg,RJ14GH9012,synthetic
cam12_GJ01AB1234_20260905_104314_334376.jpg,GJ01AB1234,synthetic
cam12_GJ01AB1234_20260905_104330_541419.jpg,GJ01AB1234,synthetic
cam12_GJ05JV7219_20260905_104416_269777.jpg,GJ05JV7219,synthetic
cam12_GJ18CD5678_20260905_104352_706013.jpg,GJ18CD5678,synthetic
cam12_GJ18CD5678_20260905_131209_887302.jpg,GJ18CD5678,synthetic
cam12_GJ27XY4455_20260905_104721_224378.jpg,GJ27XY4455,synthetic
cam12_MH12DE1433_20260905_104515_572532.jpg,MH12DE1433,synthetic
cam12_RJ14GH9012_20260905_104704_562499.jpg,RJ14GH9012,synthetic
cam12_RJ14GH9012_20260905_131418_792460.jpg,RJ14GH9012,synthetic
cam12_RJ14GH9012_20260905_132111_091677.jpg,RJ14GH9012,synthetic
cam12_RJ14GH9012_20260905_132727_850581.jpg,RJ14GH9012,synthetic
cam12_RJ99GH9012_20260905_135858_371222.jpg,RJ99GH9012,synthetic
cam12_RJ99GH9012_20260905_140041_132282.jpg,RJ99GH9012,synthetic
cam12_RJ99GH9012_20260907_082104_243711.jpg,RJ99GH9012,synthetic
cam13_GJ01AB1234_20260905_103452_101312.jpg,GJ01AB1234,synthetic
cam13_GJ01AB1234_20260905_103509_587491.jpg,GJ01AB1234,synthetic
cam13_GJ01AB1234_20260905_130241_125400.jpg,GJ01AB1234,synthetic
cam13_GJ01AB1234_20260905_130246_671213.jpg,GJ01AB1234,synthetic
cam13_GJ05JV7219_20260905_103604_094126.jpg,GJ05JV7219,synthetic
cam13_GJ18CD5678_20260905_103534_921717.jpg,GJ18CD5678,synthetic
cam13_GJ27XY4455_20260905_103714_049666.jpg,GJ27XY4455,synthetic
cam13_GJ27XY4455_20260905_131419_378464.jpg,GJ27XY4455,synthetic
cam13_GJ27XY4455_20260905_132111_848402.jpg,GJ27XY4455,synthetic
cam13_GJ96XY4455_20260905_135858_889634.jpg,GJ96XY4455,synthetic
cam13_GJ96XY4455_20260905_140041_760180.jpg,GJ96XY4455,synthetic
